,text,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise,time
1449,"As usual, thank you for your excellent Organisation of information and explanations! Great!!!",3,joy,0.9033495783805847,0.009496691636741161,0.002157794777303934,0.0013066339306533337,0.9033495783805847,0.042859338223934174,0.00253708241507411,0.03829292953014374,2022-12-02
1450,I was just looking for a video like this... amazing timing! ,6,surprise,0.592374324798584,0.02018476277589798,0.00859105959534645,0.03548651561141014,0.23796230554580688,0.10085854679346085,0.004542461130768061,0.592374324798584,2022-12-02
1451,"Superbly explained, makes the confusing part so easy!!! Thank you",3,joy,0.541771650314331,0.030312370508909225,0.003933566156774759,0.004335624165832996,0.541771650314331,0.1943003088235855,0.007310107350349426,0.21803630888462067,2022-12-11
1452,"Thank you very much for your video because it has helped me in learning about acupuncture, by the way I studied at Airlangga University majoring in traditional medicine in Indonesia, and your video really helped me, thank you very much",3,joy,0.9219723343849182,0.0023778164759278297,0.0014387775445356965,0.0012483441969379783,0.9219723343849182,0.04375619441270828,0.003076242282986641,0.02613034099340439,2022-12-02
1453,Hai this Denisha from India..l.m really excited to watch all ur classes for its fantastic explanation..l get lot of information..it's helpful to understand the patient condition better.. thank you so much for your great service..keep on doing.Thank you,3,joy,0.901908814907074,0.002060328144580126,0.00044142184196971357,0.0008115615928545594,0.901908814907074,0.01928694173693657,0.009453528560698032,0.0660373866558075,2022-12-24
1454,"Question- In the breakdown of smooth vs choppy, I’m curious if the smooth pulse is indicative of something wrong or is it an aspect of a healthy pulse?",6,surprise,0.5354636907577515,0.01192532479763031,0.019902238622307777,0.04270997643470764,0.0041445656679570675,0.3792364299297333,0.006617791019380093,0.5354636907577515,2022-12-02
1455,Great video. Do you also have a video on tongue diagnosis?,4,neutral,0.7910704612731934,0.004937870893627405,0.006198501214385033,0.0024172149132937193,0.08502676337957382,0.7910704612731934,0.004674877040088177,0.10567432641983032,2022-12-11
1456,"Pro tip, the pulse changes after each needle.. needle> read> needle > read… healthy pulse… then branch treatment",4,neutral,0.7455508708953857,0.0138475950807333,0.016288403421640396,0.01284086424857378,0.015510974451899529,0.7455508708953857,0.02853020466864109,0.16743113100528717,2022-12-02
1457,"Sir, Wanted to know if there was a sequel to this pulse video.  I remember seeing it sometimes back but was unable to watch it.",5,sadness,0.453467458486557,0.004088519606739283,0.00833872240036726,0.012431486509740353,0.003828334156423807,0.3885357677936554,0.453467458486557,0.1293097734451294,2022-12-18
1458,Super helpful! Thanks,3,joy,0.8355788588523865,0.006819047033786774,0.0023224966134876013,0.0010293391533195972,0.8355788588523865,0.07851411402225494,0.006769260857254267,0.06896674633026123,2022-12-02
1459,great review!,3,joy,0.8962609171867371,0.004065618850290775,0.0012431403156369925,0.0013996517518535256,0.8962609171867371,0.03719135373830795,0.004052490461617708,0.05578675866127014,2022-12-02
1460,hey Nicholas. is it possible to get the slides from the video?,4,neutral,0.5206871032714844,0.004725723993033171,0.0017861127853393555,0.0030196465086191893,0.02915620431303978,0.5206871032714844,0.019332924857735634,0.42129218578338623,2022-12-02
1461,Good day today sir.,4,neutral,0.8030365705490112,0.005045327357947826,0.007795410696417093,0.0023270423989742994,0.1607382595539093,0.8030365705490112,0.009614020586013794,0.011443296447396278,2022-12-18
1462,Awesomeee,6,surprise,0.47809407114982605,0.01664680987596512,0.00738477660343051,0.003419723128899932,0.3771669566631317,0.10841784626245499,0.008869764395058155,0.47809407114982605,2022-12-02
1463,Thanks,4,neutral,0.9120060801506042,0.01678360626101494,0.008817816153168678,0.0024913079105317593,0.023336397483944893,0.9120060801506042,0.013259131461381912,0.023305675014853477,2022-12-02
1464,For many many years I have been a great believer it traditional Chinese medicine. Not just acupuncture. If it's been going for 3000 years there must be something to it. I had eczema on my leg and tried all the creams my doctor prescribed to no avail. Then I tried a Chinese remedy. It disappeared completely within a week and has not come back. That was eight years ago.,4,neutral,0.8058755993843079,0.010365576483309269,0.01949499174952507,0.006702776532620192,0.002411175286397338,0.8058755993843079,0.030667854472994804,0.12448196858167648,2017-01-02
1465,"Thank you, Charmian! I have to say that this is one of the best motivational ted talks I have seen. You had to choose the majority in traditional medicine it's definitely a tough choice on this day in Western, you don't care about the other assessment, critics, you see the power of Traditional medicine and you protect ít and bring the pure quality to treatment. You also point out 2 different features such as the art is all your patient not only by this disease, the second is ego in western medicine may keep the patient far away to them, we can be lost the physical interaction and mindful connection to them so many cases can't cure efficiently. Thank you! Good luck!",4,neutral,0.5014133453369141,0.07175283879041672,0.051406379789114,0.00979049876332283,0.32354241609573364,0.5014133453369141,0.027089659124612808,0.015004796907305717,2022-01-01
1466,"She actually has a quite accurate description of what ""Qi"" really means. No, it's not an energy, nor a field, nor a force. It is perhaps at best described as a pattern. One analogy would be with economy. There isn't a physical thing that constitutes economic boom or recession, but a pattern of the entire system.",4,neutral,0.9370971322059631,0.006883364636451006,0.018473641946911812,0.002239551395177841,0.002306103240698576,0.9370971322059631,0.0032886683475226164,0.029711559414863586,2019-01-02
1467,"Brilliant, so interesting about the lady with fertility problems. Would have been nice to see more of the video of the person with lower back pain...we need more talks on TED about alternative medicine!",6,surprise,0.35135871171951294,0.00553207378834486,0.012368937022984028,0.004397186916321516,0.32930639386177063,0.2603831887245178,0.036653462797403336,0.35135871171951294,2014-01-03
1468,"My nephew's urticaria was 100% cured by TCM(Tradtional Chinese Medicine). He's been cured of it for 3 years now. From what I've read of conventional western medical treatment of urticaria, they would have him on daily Zyrtec pills. In a few years it would fail, then he would take monthly Xolair shots, then that would fail and he would end up in ER and given Prednisone steroid shots, but that would eventually fail too. I'm so glad we tried TCM. It only took two months and only $170 with TCM.",3,joy,0.9268554449081421,0.0019360582809895277,0.0013678941177204251,0.0005497957463376224,0.9268554449081421,0.029820768162608147,0.01273487601429224,0.026735208928585052,2022-06-05
1469,Great speech!  There are so many Chinese who don’t understand CTM and look down at their own cultural heritage,6,surprise,0.6410923004150391,0.018428023904561996,0.005770361516624689,0.036158524453639984,0.07367993146181107,0.18083396553993225,0.04403691738843918,0.6410923004150391,2020-01-02
1470,"I feel so motivated , idk why but its sounds great. TCM is also about herbs , not only acupuncture. so, I think, people who said it have not proven yet, you're wrong.",3,joy,0.9756566882133484,0.007431413978338242,0.0013719098642468452,0.0003425551694817841,0.9756566882133484,0.00719032809138298,0.0038646054454147816,0.004142581019550562,2018-01-02
1471,"Chinese medicine student is here, i think what she said is very nice just a foreigner, i hope more foreigner will know about and learn it",3,joy,0.8925977349281311,0.0019979914650321007,0.0036424018908292055,0.00047343625919893384,0.8925977349281311,0.0728391632437706,0.005094936583191156,0.023354267701506615,2020-01-02
1472,Can we also take a moment to emphasize that placebo is a powerful example of the power of the mind and healing the body? It’s interesting how western science just totally overlooks that.,6,surprise,0.4881105422973633,0.00860437098890543,0.014817909337580204,0.002430598484352231,0.008730275556445122,0.4730372428894043,0.004269121680408716,0.4881105422973633,2022-07-05
1473,the placebo effect is powerful! just talking can change the brain and the body will respond.,3,joy,0.6023439168930054,0.046008262783288956,0.012845332734286785,0.005460706073790789,0.6023439168930054,0.16481070220470428,0.004925036337226629,0.16360601782798767,2022-05-06
1474,"TCM is a wholly different system from modern medical science system. Do not try to use one system to explain another different system. Herb is actually more broad and powerful than acupuncture, but unfortunately, a lot of people can’t master it and the regulation is bad too.",4,neutral,0.5176069140434265,0.025835691019892693,0.15561458468437195,0.03654894232749939,0.0023862128145992756,0.5176069140434265,0.2208244353532791,0.04118325188755989,2022-02-05
1475,People can understand TCM is really clever and open minded. It's my philosophy and life style,4,neutral,0.7462742328643799,0.009058604948222637,0.006275025196373463,0.0012112705735489726,0.2206607460975647,0.7462742328643799,0.002870886819437146,0.0136493518948555,2014-01-03
1476,"I tried acupressure for weight gain. I was losing weight since the past 7-8 months. Initially my weight started decreasing, and then within 3-4 months i could 2kgs, with just one acupressure point.",4,neutral,0.6111995577812195,0.008798369206488132,0.01209291908890009,0.020201129838824272,0.042768411338329315,0.6111995577812195,0.040683563798666,0.26425600051879883,2019-01-02
1477,"The biggest evidence for the effectiveness of Chinese medicine that anybody can observe I think is that the country with the biggest population whether now or in ancient times relies on this medical system for the most of its history. If it doesn't work, there wouldn't be so many people then. It's a system based on 3000 years of experience. Some rationale is there and working even the current science can't explain for now. And I think one reason for the lack of CURRENT science base of Chinese medicine is the lack of interest and real research which costs.",4,neutral,0.8412032723426819,0.03731824457645416,0.04372421279549599,0.0035396055318415165,0.0025078472681343555,0.8412032723426819,0.01860681176185608,0.05310002341866493,2017-01-02
1478,a good TCM doctor must have  got TAO as well，we call them 神医， which means a doctor like God,4,neutral,0.6540431380271912,0.011042969301342964,0.0027255925815552473,0.007551622111350298,0.10327842086553574,0.6540431380271912,0.022541427984833717,0.19881686568260193,2021-01-01
1479,"""I've heard Western medicine is stuck in Newtonian physics, whereas TCM focuses on Einsteinian physics.. it made sense to me..""",4,neutral,0.655502438545227,0.021087320521473885,0.06532565504312515,0.018630797043442726,0.006132227368652821,0.655502438545227,0.026437701657414436,0.20688389241695404,2016-01-03
1480,"I've heard Western medicine is stuck in Newtonian physics, whereas TCM focuses on Einsteinian physics.. it made sense to me..",4,neutral,0.5994914770126343,0.02493731677532196,0.0672989934682846,0.01636127009987831,0.006223053205758333,0.5994914770126343,0.04053262993693352,0.2451552450656891,2015-01-03
1481,I need to see how to put this together!!,4,neutral,0.37713149189949036,0.17347808182239532,0.05588076263666153,0.05113896727561951,0.038197387009859085,0.37713149189949036,0.03650391474366188,0.2676694393157959,2019-01-02
1482,"There will be scientific explanation for TCM, if sufficient resources is devoted to it.",4,neutral,0.9451789259910583,0.009009991772472858,0.006010530982166529,0.003417640458792448,0.01528288796544075,0.9451789259910583,0.008880571462213993,0.012219486758112907,2020-01-02
1483,"Excellent information and promotion on Chinese Medicine, thank you!",3,joy,0.8520452976226807,0.009570421651005745,0.0037104340735822916,0.0012071756646037102,0.8520452976226807,0.10067310929298401,0.0022500278428196907,0.03054351545870304,2021-01-01
1484,her voice is so relaxing,3,joy,0.9724283218383789,0.0007783634355291724,0.001449095201678574,0.0004139273951295763,0.9724283218383789,0.014991017058491707,0.006771719083189964,0.0031676210928708315,2022-11-02
1485,"The best massage service in Fayetteville, NC, uses traditional Chinese medicine to go beyond physical benefits and improve cognitive functions",4,neutral,0.6970015168190002,0.00533220125362277,0.06213415786623955,0.004838789813220501,0.18199926614761353,0.6970015168190002,0.014506431296467781,0.034187618643045425,2022-12-02
1486,Love the fact that he automatically says “he” for doctor and the doctor is a woman. ,4,neutral,0.5727602243423462,0.08143091946840286,0.21019525825977325,0.002593990182504058,0.1043325737118721,0.5727602243423462,0.008217554539442062,0.02046949975192547,2022-01-01
1487,"My nephew's urticaria was 100% cured by TCM(Tradtional Chinese Medicine). He's been cured of it for 3 years now. From what I've read of conventional western medical treatment of urticaria, they would have him on daily Zyrtec pills. In a few years it would fail, then he would take monthly Xolair shots, then that would fail and he would end up in ER and given Prednisone steroid shots, but that would eventually fail too. I'm so glad we tried TCM. It only took two months and only $170 with TCM.",3,joy,0.9268554449081421,0.001936057349666953,0.0013678941177204251,0.0005497957463376224,0.9268554449081421,0.02982076071202755,0.012734878808259964,0.026735207065939903,2022-06-05
1488,Tcm is amazing.,6,surprise,0.7959010601043701,0.007576623931527138,0.006779029965400696,0.012243707664310932,0.06677690148353577,0.10319240391254425,0.0075302873738110065,0.7959010601043701,2019-01-02
1489,"Thanks, that was great.",3,joy,0.8767204284667969,0.0033342328388243914,0.002413341775536537,0.000822780595626682,0.8767204284667969,0.07993100583553314,0.003649655496701598,0.03312847390770912,2017-01-02
1490,Did anybody notice how cool this chicks hair looks like how’s it so shiny and smooth looks like it’s from a cartoon! Crazy,6,surprise,0.4697299003601074,0.04580991342663765,0.016152041032910347,0.002008043695241213,0.1827675849199295,0.2726426124572754,0.010889947414398193,0.4697299003601074,2021-01-01
1491,Excellent,4,neutral,0.7960397005081177,0.024797484278678894,0.04686373472213745,0.008562542498111725,0.07853318750858307,0.7960397005081177,0.013802089728415012,0.031401291489601135,2021-01-01
1492,"Very well done,come  from  china",3,joy,0.8557214140892029,0.0021215712185949087,0.0005104892188683152,0.0006124103674665093,0.8557214140892029,0.04994024336338043,0.008620101027190685,0.08247381448745728,2021-01-01
1493,"I don't like TCM, the awful taste, the smell, take a hella long time brewing the medicine, and the herbs normally put my appetite off just by seeing it.",1,disgust,0.979686975479126,0.005335555877536535,0.979686975479126,0.008597791194915771,0.00039405334973707795,0.002168710343539715,0.003147218842059374,0.0006696496857330203,2022-04-06
1494,Hi Britta! Remember Ashoke from Nepal?,3,joy,0.3856394588947296,0.009944667108356953,0.0037561501376330853,0.0022323557641357183,0.3856394588947296,0.314743310213089,0.027508554980158806,0.2561754584312439,2020-01-02
1495,lot's of silent graves are not commenting here :),5,sadness,0.6168773174285889,0.025816066190600395,0.07437329739332199,0.004825174808502197,0.0034535033628344536,0.24562907218933105,0.6168773174285889,0.02902553416788578,2022-09-03
1496,"it doesnt have , it open::::::::::::::::sand firm",4,neutral,0.7006224989891052,0.013589071109890938,0.00811800081282854,0.005728408694267273,0.006135458126664162,0.7006224989891052,0.07988840341567993,0.18591812252998352,2020-01-02
1497,It does not work. jesus...,5,sadness,0.8724757432937622,0.0272565595805645,0.021141614764928818,0.0049903723411262035,0.0012293369509279728,0.05912919342517853,0.8724757432937622,0.01377720758318901,2022-10-03
1498,"This is quite common in the Asian countries. India has Ayurvedic medicines which is all natural stuffs. Buddhists high on the Himalayas mountains of Nepal habe unique plant based medicines. However, their effectiveness is not proven.",4,neutral,0.9165118932723999,0.010670213960111141,0.026537710800766945,0.004278725944459438,0.007386757526546717,0.9165118932723999,0.012092013843357563,0.02252264693379402,2019-01-02
1499,"Well, I hope chinese universities buy every single thing in that market and conduct thorough testing. Of course I doubt there's anything really toxic among that stuff, but continued use of certain stuff over years... who knows.",4,neutral,0.823731005191803,0.017551690340042114,0.12087568640708923,0.010597938671708107,0.004478006158024073,0.823731005191803,0.010459201410412788,0.012306363321840763,2019-01-02
1500,More than 900 Chinese traditional medicine ingredients were patented by international drug companies already.,4,neutral,0.9133883118629456,0.01097114197909832,0.004537545144557953,0.0029883806128054857,0.024372797459363937,0.9133883118629456,0.003178650513291359,0.04056321457028389,2019-01-02
1501,"As wrong as this is, I think it would be hard for many to drop it, just like religion. Although it might be old and we’ve learned better, many still believe it and a whole generation would have to be corrected. Sad, but understandable",5,sadness,0.9478359222412109,0.004888402763754129,0.01279839314520359,0.0012109677772969007,0.003793609794229269,0.022511901333928108,0.9478359222412109,0.006960832979530096,2021-01-01
1502,I have just sprained my wrist - western medicine says 2 to 10 weeks to heal and use RICE - me I use TCM  a combination of Tieh Ta Yao Gin and Dit Dat Jow  massage and stretching with heat  pain experienced at 1st but after now only 2 days I have 80% full movement in my wrist- required to apply the medicine at least 6 to 7 times a day and almost healed - I have been using TCM for over 15yrs and I am not an Asian I use TCM for almost all of any medical problems,6,surprise,0.2887837588787079,0.019534345716238022,0.004203849472105503,0.07235150784254074,0.12346968054771423,0.26287394762039185,0.22878298163414001,0.2887837588787079,2020-01-02
1503,"Quinoa a growing trend says its health benefits are a super food, yet it only equates the same health value as a potato. Time for people to research, it looks like a growing trend where advertising is duping society.",1,disgust,0.5551491379737854,0.0932166650891304,0.5551491379737854,0.019036050885915756,0.008140268735587597,0.2610456347465515,0.025194454938173294,0.03821781650185585,2019-01-02
1504,Animal: ,4,neutral,0.508377194404602,0.07907212525606155,0.17838339507579803,0.17506743967533112,0.009471423923969269,0.508377194404602,0.03385085240006447,0.015777550637722015,2020-01-02
1505,Which market is this n which city plz help,4,neutral,0.8928490281105042,0.006344846915453672,0.0018017691327258945,0.004369491245597601,0.023146379739046097,0.8928490281105042,0.01566881686449051,0.05581973120570183,2020-01-02
1506,Do some investigation before your guys drawed the biased conclusion on chinese medicine,4,neutral,0.8833327889442444,0.050900887697935104,0.025451447814702988,0.00902213528752327,0.002246722811833024,0.8833327889442444,0.013151319697499275,0.015894809737801552,2019-01-02
1507,"Please ban those medicines, specially those which involves animal derivatives, these kind of things encourage poaching and make it a lucrative business.",1,disgust,0.35764166712760925,0.3380514085292816,0.35764166712760925,0.1344725638628006,0.004058680962771177,0.14327344298362732,0.020076533779501915,0.002425710204988718,2022-02-05
1508,Don't forget to drink hot water.,4,neutral,0.7412447333335876,0.020826024934649467,0.11053260415792465,0.013268428854644299,0.018446382135152817,0.7412447333335876,0.08863750100135803,0.007044306956231594,2019-01-02
1509,How about natural organic opium?,4,neutral,0.9087071418762207,0.017167633399367332,0.04602306708693504,0.0035921293310821056,0.0030429866164922714,0.9087071418762207,0.004981443751603365,0.016485584899783134,2019-01-02
1510,Pakistan .....also like this,4,neutral,0.6801102161407471,0.011406383477151394,0.007065703626722097,0.0037512448616325855,0.01986698806285858,0.6801102161407471,0.04641534015536308,0.2313840687274933,2019-01-02
1511,I like China health treat ments,3,joy,0.982021152973175,0.0017425010446459055,0.001598294242285192,0.00047305604675784707,0.982021152973175,0.0072365314699709415,0.003142119152471423,0.003786386689171195,2020-01-02
1512,The lady in the red coat.,1,disgust,0.960720419883728,0.004230658523738384,0.960720419883728,0.0040978132747113705,0.004701236262917519,0.012254254892468452,0.003637580666691065,0.01035808864980936,2019-01-02
1513,"The reason most of the tigers, elephants, and rhinos are almost extinct",4,neutral,0.40214329957962036,0.026395853608846664,0.09050670266151428,0.065884530544281,0.002647003624588251,0.40214329957962036,0.3664759397506714,0.04594672843813896,2019-01-02
1514,They need to outlaw all of it!,0,anger,0.8289064168930054,0.8289064168930054,0.07718094438314438,0.014573534950613976,0.002900899387896061,0.04313574358820915,0.010142694227397442,0.02315974049270153,2019-01-02
1515,"Wow, people are desperate",6,surprise,0.941724956035614,0.007585771847516298,0.007360880728811026,0.011793454177677631,0.0016433045966550708,0.018673546612262726,0.011218110099434853,0.941724956035614,2022-05-06
1516,"the major problem is not necessarily the effectiveness of TCM, but the fact that animals are going extinct because of the demand for their bodyparts.... ",2,fear,0.3477097749710083,0.08185241371393204,0.21413415670394897,0.3477097749710083,0.003274877555668354,0.2889206111431122,0.04520263522863388,0.018905483186244965,2018-01-02
1517,What is the most effective Chinese medicine used for preventing bad breath odor?,4,neutral,0.5615355372428894,0.034463558346033096,0.33270198106765747,0.03680461645126343,0.0029876779299229383,0.5615355372428894,0.010398408398032188,0.02110823430120945,2018-01-02
1518,Awesome video! What kind of potato did you use to record the narration? Let's get some subtitles on here.,3,joy,0.5400295853614807,0.011604780331254005,0.012488213367760181,0.001342951669357717,0.5400295853614807,0.30504512786865234,0.0052191633731126785,0.12427011132240295,2018-01-02
1519,Great,4,neutral,0.48015427589416504,0.03767118602991104,0.029454438015818596,0.011025083251297474,0.376974493265152,0.48015427589416504,0.02300327457487583,0.04171716049313545,2020-01-02
1520,How to get Chinese natural herbs,4,neutral,0.9350463151931763,0.007208519149571657,0.0034991211723536253,0.002796862507238984,0.007550486363470554,0.9350463151931763,0.004851507022976875,0.03904712200164795,2022-01-01
1521,Pls mention real source of containt  - centipedes; Caterpillar; Bats; Rats; cockroach,1,disgust,0.6816624402999878,0.03561386093497276,0.6816624402999878,0.07399822771549225,0.003958847373723984,0.17429214715957642,0.023123199120163918,0.007351312320679426,2021-01-01
1522,"This isnt good. Those ingrediants need to be boiled, not steeped. Almost all hebs need to be boiled. It breaks down the plant... what a proufoundly sad situation.",5,sadness,0.9788216948509216,0.00098795210942626,0.0021187688689678907,0.0012615337036550045,0.0026269976515322924,0.0064322385005652905,0.9788216948509216,0.007750857155770063,2021-01-01
1523,Good information but your sound no good. You should have used a separate recording device,5,sadness,0.49236512184143066,0.04769112914800644,0.22725674510002136,0.014558455906808376,0.004866328556090593,0.2045886516571045,0.49236512184143066,0.008673574775457382,2020-01-02
1524,The combination of Eastern and Western = the best,4,neutral,0.7294178605079651,0.007449927274137735,0.00903913751244545,0.003226366825401783,0.14610816538333893,0.7294178605079651,0.006380487233400345,0.0983780175447464,2020-01-02
1525,"I’ve before thought I was endangered just being lead into the mental health community.  I’ve seen an acupuncturist before and liked mostly the diet I was on and now almost back on a vegan diet although was wondering what foods are good for healing in Chinese medicine. I now know theres a field that knows me very well and listens to me through my hardships.  Although I have my PhD in sociology and am wanting to be part in learning Chinese Medicine, the diet, meridians,  and so on, I also don’t want to any longer feel endangered. Thank you for this video.",2,fear,0.7303642630577087,0.025792783126235008,0.003663009498268366,0.7303642630577087,0.02415788173675537,0.06752461940050125,0.14632226526737213,0.002175085013732314,2022-10-03
1526,Human beings need to take care of their environment because their health depends on it - Lixin Huang,4,neutral,0.8560394048690796,0.03498461842536926,0.035997286438941956,0.015083611942827702,0.01147388480603695,0.8560394048690796,0.028866315260529518,0.01755487360060215,2022-10-03
1527,Wowwwww!!!!! What an inspirational Woman and Story. Much RESPECT and LOVE sent your way Queen. Mother Earth appreciates the wisdom you share with your fellow human brothers and sisters. Respect and Love must be restored to Mama Earth Gaia whatever you want to call her. She is suffering and so are her babies. We MUST do OUR PART and spread the awareness and LOVE. Lets lead by example my fellow leaders.,6,surprise,0.6427566409111023,0.009586666710674763,0.011402548290789127,0.009883107617497444,0.03435541316866875,0.0967060849070549,0.19530953466892242,0.6427566409111023,2019-01-02
1528,"Back in the 1990s  I wanted to take the full TCM course but  I couldn't afford it at the time, I ended up just going to different Libraries and reading up on TCM  there wasnt much informnation on it . I do practice Chi Gong Tai Chi and meditate, acupressure  but  I always wanted to learn the TCM ",2,fear,0.5034530758857727,0.08827098459005356,0.011591844260692596,0.5034530758857727,0.03269826993346214,0.03421454131603241,0.3155255913734436,0.014245719648897648,2022-09-03
1529,"Lixin: Thank you for  your inspirational talk! Your life is the great inspiration itself.  Much love!
",3,joy,0.8871207237243652,0.0026024309918284416,0.0005748224211856723,0.0008656647987663746,0.8871207237243652,0.017711946740746498,0.007463301066309214,0.08366112411022186,2013-01-03
1530,"Thank you for sharing this! This was a required video to watch for a holistic mind-body healing course. Going to share this with my qigong students, such great mention for this ancient practice.",3,joy,0.759143590927124,0.006474141031503677,0.002767208032310009,0.0016003375640138984,0.759143590927124,0.1290130913257599,0.0032112172339111567,0.09779049456119537,2022-01-01
1531,She speaks with such wisdom and calmness ,4,neutral,0.8394358158111572,0.018829109147191048,0.05682240054011345,0.009177139028906822,0.0613357275724411,0.8394358158111572,0.010795102454721928,0.003604623256251216,2021-01-01
1532,An enlightening and inspiring lecture.....Traditional Chinese Medicine originated from the ingenuity of numerous ancient Chinese great minds and the following researchers....,3,joy,0.845304012298584,0.0050349729135632515,0.00519063975661993,0.00573830446228385,0.845304012298584,0.09234161674976349,0.01224351953715086,0.03414689376950264,2016-01-03
1533,Very interesting.  We need to respect our ancestors for their intimate ancient knowledge of themselves and the world.,4,neutral,0.7002937197685242,0.034190159291028976,0.1914927065372467,0.026804110035300255,0.009219209663569927,0.7002937197685242,0.010173029266297817,0.027826979756355286,2020-01-02
1534,"I'd love to see the follow-up to this lecture. It's excellent, and regulation and compliance along with cultural beliefs and geopolitics is soooooo complex.",3,joy,0.899570643901825,0.0016812591347843409,0.0030459589324891567,0.0006818085676059127,0.899570643901825,0.0768587738275528,0.005553293041884899,0.012608270160853863,2022-01-01
1535,Great information that world needs to know. Excellent presentation.,4,neutral,0.7797191143035889,0.006835997104644775,0.018099702894687653,0.0027506016194820404,0.16876459121704102,0.7797191143035889,0.006629394367337227,0.017200637608766556,2021-01-01
1536,"Disclaimer for those who haven't tried Chinese medicine: it doesn't have instantaneous effects and it will take a while for the benefits to show, so follow your medication schedules and everything should be better eventually. Take care!",4,neutral,0.9559189081192017,0.008451447822153568,0.004608363378793001,0.004370478447526693,0.004389595706015825,0.9559189081192017,0.01051804143935442,0.01174318976700306,2022-06-05
1537,Amazing how so many say it's bullshit that have never tried it. I had terrible asthma attacks 2 years ago after I quit smoking.I didn't have an inhaler prescribed though as the doctors initially underestimated how serious the issue was at the time. I was taught the lung meridians and other acupressure points and I massaged them immediately when the attacks would set on and they would dissipate rapidly. It saved my life. If I hadn't known acupressure and very basic herbology I might not be alive.,6,surprise,0.5361583828926086,0.03446550294756889,0.07958153635263443,0.25414806604385376,0.002874133875593543,0.061858199536800385,0.030914198607206345,0.5361583828926086,2017-01-02
1538,That’s So True Queen ,4,neutral,0.9181185364723206,0.019680261611938477,0.021931981667876244,0.01836133375763893,0.012826160527765751,0.9181185364723206,0.0037297913804650307,0.005352005362510681,2022-02-05
1539,This video is very interesting. Thank you so much!,3,joy,0.8398622870445251,0.004220674280077219,0.002708406187593937,0.0020747375674545765,0.8398622870445251,0.05721705034375191,0.00313519686460495,0.09078166633844376,2019-01-02
1540,"Thank you, I learned so much.",3,joy,0.8479745984077454,0.006420687306672335,0.003213525051251054,0.001323533826507628,0.8479745984077454,0.10564572364091873,0.0036158100701868534,0.03180616348981857,2022-08-04
1541,"I believe I would have been in a nursing home by now if I had not learned medical qi gong with BIGU and special abiities to heal myself.  QinWay System GI Gond, still a spot left in the last retreat before she retires. COming to USA this Sept, 2021. Life changing transformation possible and guaranteed if you following what was learned in this seminar",4,neutral,0.49942079186439514,0.007654814049601555,0.00372527027502656,0.05307702347636223,0.020440340042114258,0.49942079186439514,0.09083223342895508,0.3248494565486908,2022-01-01
1542,I enjoyed your presentation. Thank you.,3,joy,0.9841884970664978,0.0013274172088131309,0.0018597126472741365,0.00028675858629867435,0.9841884970664978,0.006884078029543161,0.001284044235944748,0.004169525112956762,2017-01-02
1543,"Struggled my whole life with candida , sick of living like this and going to try TCM , great presentation and thank you ",2,fear,0.7607840299606323,0.056034624576568604,0.0016459901817142963,0.7607840299606323,0.03840402513742447,0.010357916355133057,0.12170466780662537,0.011068646796047688,2020-01-02
1544,"I must say she’s really a good host and ambassador. The pace, the eye contact, the pleasant vibes, the way to tell a narrative in short and interesting form.....",3,joy,0.7615373730659485,0.0033495095558464527,0.013910830020904541,0.0009509715018793941,0.7615373730659485,0.20495888590812683,0.004837282933294773,0.010455031879246235,2021-01-01
1545,She is awesome and I truly enjoyed her segment on this. I appreciate her time and introduction for people like myself. I am highly interested in Chinese medicine for myself so this was such a great start. I wish she had her own channel because I know there are so much to cover. Great video I really enjoyed!,3,joy,0.9364566206932068,0.001471020863391459,0.0013112400192767382,0.0006085370550863445,0.9364566206932068,0.022314447909593582,0.0036478310357779264,0.03419026359915733,2022-01-01
1546,Wow! This lady is so beautiful and knowledgeable and such a natural on camera. Miss Lady should have her own YouTube channel to share her wisdom. I would love to be her student and learn about TCM.,6,surprise,0.9470097422599792,0.003702002577483654,0.00413009338080883,0.0036319547798484564,0.016620352864265442,0.022655237466096878,0.0022505884990096092,0.9470097422599792,2020-01-02
1547,"I love this. As a chef, I am trying to branch out into medicinal cooking. This is so helpful and it's nice that they now have a substitute for shark fin.",3,joy,0.8974870443344116,0.002862623194232583,0.016093812882900238,0.0009685660479590297,0.8974870443344116,0.07297451794147491,0.003132750978693366,0.006480662152171135,2022-01-01
1548,I could listen to her speak for hours!,6,surprise,0.4986920952796936,0.15607474744319916,0.1669120043516159,0.016263553872704506,0.10553739219903946,0.04214974120259285,0.014370506629347801,0.4986920952796936,2020-01-02
1549,She is so awesome. This is my first day of learning about Chinese medicine. Her English is so good. I also love the packaging of the more modern Chinese medicine,3,joy,0.752596914768219,0.0029460275545716286,0.007822670042514801,0.002142441924661398,0.752596914768219,0.15404905378818512,0.0037726156879216433,0.07667027413845062,2021-01-01
1550,I found this very interesting and informative. I’ve just started going to an acupuncturist for my lower spine who also deals with herbs. I have great respect for this ancient healing.,4,neutral,0.7384378910064697,0.0044989134185016155,0.055747345089912415,0.00629483861848712,0.11379677057266235,0.7384378910064697,0.010041572153568268,0.07118268311023712,2021-01-01
